country_iso3,country_name,year,value,indicator_code,indicator_name,source
TON,,2000,,MDG_0000000001,,WHO GHO
CHE,,2012,,MDG_0000000001,,WHO GHO
WB_LMI,,2010,,MDG_0000000001,,WHO GHO
VUT,,2014,,MDG_0000000001,,WHO GHO
COM,,2021,,MDG_0000000001,,WHO GHO
MLT,,2015,,MDG_0000000001,,WHO GHO
MLT,,2023,,MDG_0000000001,,WHO GHO
BTN,,2019,,MDG_0000000001,,WHO GHO
LKA,,2013,,MDG_0000000001,,WHO GHO
ZAF,,2008,,MDG_0000000001,,WHO GHO
JPN,,2007,,MDG_0000000001,,WHO GHO
MNG,,2014,,MDG_0000000001,,WHO GHO
BHS,,2009,,MDG_0000000001,,WHO GHO
LCA,,2004,,MDG_0000000001,,WHO GHO
UGA,,2012,,MDG_0000000001,,WHO GHO
GRC,,2011,,MDG_0000000001,,WHO GHO
TTO,,2018,,MDG_0000000001,,WHO GHO
UNICEF_ECARO,,2017,,MDG_0000000001,,WHO GHO
SEAR,,2021,,MDG_0000000001,,WHO GHO
VGB,,2018,,MDG_0000000001,,WHO GHO
KAZ,,2009,,MDG_0000000001,,WHO GHO
CYP,,2023,,MDG_0000000001,,WHO GHO
CHE,,2020,,MDG_0000000001,,WHO GHO
YEM,,2016,,MDG_0000000001,,WHO GHO
MNG,,2013,,MDG_0000000001,,WHO GHO
PAN,,2007,,MDG_0000000001,,WHO GHO
VGB,,2008,,MDG_0000000001,,WHO GHO
IDN,,2011,,MDG_0000000001,,WHO GHO
THA,,2022,,MDG_0000000001,,WHO GHO
DNK,,2008,,MDG_0000000001,,WHO GHO
ESP,,2017,,MDG_0000000001,,WHO GHO
NLD,,2014,,MDG_0000000001,,WHO GHO
TTO,,2015,,MDG_0000000001,,WHO GHO
LVA,,2013,,MDG_0000000001,,WHO GHO
NRU,,2021,,MDG_0000000001,,WHO GHO
UNICEFREGIONSSA,,2021,,MDG_0000000001,,WHO GHO
LKA,,2014,,MDG_0000000001,,WHO GHO
WB_LI,,2021,,MDG_0000000001,,WHO GHO
VNM,,2023,,MDG_0000000001,,WHO GHO
TKM,,2018,,MDG_0000000001,,WHO GHO
KHM,,2014,,MDG_0000000001,,WHO GHO
HND,,2003,,MDG_0000000001,,WHO GHO
POL,,2001,,MDG_0000000001,,WHO GHO
CHE,,2017,,MDG_0000000001,,WHO GHO
HTI,,2014,,MDG_0000000001,,WHO GHO
WPR,,2022,,MDG_0000000001,,WHO GHO
FSM,,2011,,MDG_0000000001,,WHO GHO
AFR,,2012,,MDG_0000000001,,WHO GHO
UNICEFREGIONSA,,2017,,MDG_0000000001,,WHO GHO
SMR,,2014,,MDG_0000000001,,WHO GHO
NIC,,2010,,MDG_0000000001,,WHO GHO
UNSDG_LAC,,2016,,MDG_0000000001,,WHO GHO
UNSDG_SOUTHEASTERNASIA,,2005,,MDG_0000000001,,WHO GHO
SLE,,2001,,MDG_0000000001,,WHO GHO
BRN,,2018,,MDG_0000000001,,WHO GHO
UNICEF_LACRO,,2014,,MDG_0000000001,,WHO GHO
CRI,,2012,,MDG_0000000001,,WHO GHO
MDG,,2006,,MDG_0000000001,,WHO GHO
GUY,,2011,,MDG_0000000001,,WHO GHO
ARE,,2008,,MDG_0000000001,,WHO GHO
MUS,,2019,,MDG_0000000001,,WHO GHO
ZAF,,2019,,MDG_0000000001,,WHO GHO
BFA,,2023,,MDG_0000000001,,WHO GHO
UNSDG_SIDS,,2005,,MDG_0000000001,,WHO GHO
ALB,,2019,,MDG_0000000001,,WHO GHO
SYR,,2008,,MDG_0000000001,,WHO GHO
TKM,,2013,,MDG_0000000001,,WHO GHO
UNICEF_LACRO,,2001,,MDG_0000000001,,WHO GHO
ECU,,2020,,MDG_0000000001,,WHO GHO
PRK,,2005,,MDG_0000000001,,WHO GHO
EGY,,2002,,MDG_0000000001,,WHO GHO
PRT,,2005,,MDG_0000000001,,WHO GHO
CZE,,2007,,MDG_0000000001,,WHO GHO
LKA,,2013,,MDG_0000000001,,WHO GHO
GNB,,2011,,MDG_0000000001,,WHO GHO
TUN,,2003,,MDG_0000000001,,WHO GHO
LBN,,2003,,MDG_0000000001,,WHO GHO
MOZ,,2016,,MDG_0000000001,,WHO GHO
CAN,,2015,,MDG_0000000001,,WHO GHO
KNA,,2019,,MDG_0000000001,,WHO GHO
SWE,,2014,,MDG_0000000001,,WHO GHO
UNICEF_ESARO,,2005,,MDG_0000000001,,WHO GHO
BEL,,2017,,MDG_0000000001,,WHO GHO
LUX,,2011,,MDG_0000000001,,WHO GHO
UNSDG_AUSTRALIANEWZEALAND,,2010,,MDG_0000000001,,WHO GHO
BEN,,2002,,MDG_0000000001,,WHO GHO
KAZ,,2021,,MDG_0000000001,,WHO GHO
XKX,,2011,,MDG_0000000001,,WHO GHO
BEN,,2012,,MDG_0000000001,,WHO GHO
BHR,,2001,,MDG_0000000001,,WHO GHO
UNICEF_MENARO,,2022,,MDG_0000000001,,WHO GHO
FSM,,2012,,MDG_0000000001,,WHO GHO
UNICEF_ECARO,,2012,,MDG_0000000001,,WHO GHO
KHM,,2007,,MDG_0000000001,,WHO GHO
PLW,,2007,,MDG_0000000001,,WHO GHO
THA,,2017,,MDG_0000000001,,WHO GHO
UNICEFREGIONMENA,,2009,,MDG_0000000001,,WHO GHO
MSR,,2004,,MDG_0000000001,,WHO GHO
GTM,,2001,,MDG_0000000001,,WHO GHO
URY,,2002,,MDG_0000000001,,WHO GHO
YEM,,2002,,MDG_0000000001,,WHO GHO
ATG,,2015,,MDG_0000000001,,WHO GHO
BGR,,2005,,MDG_0000000001,,WHO GHO
COK,,2023,,MDG_0000000001,,WHO GHO
IRL,,2002,,MDG_0000000001,,WHO GHO
AFR,,2017,,MDG_0000000001,,WHO GHO
TGO,,2003,,MDG_0000000001,,WHO GHO
UNICEF_WCARO,,2004,,MDG_0000000001,,WHO GHO
SLV,,2011,,MDG_0000000001,,WHO GHO
UNSDG_AUSTRALIANEWZEALAND,,2009,,MDG_0000000001,,WHO GHO
NGA,,2018,,MDG_0000000001,,WHO GHO
UNSDG_WESTERNASIA,,2000,,MDG_0000000001,,WHO GHO
GBR,,2018,,MDG_0000000001,,WHO GHO
AIA,,2018,,MDG_0000000001,,WHO GHO
NAM,,2005,,MDG_0000000001,,WHO GHO
GLOBAL,,2023,,MDG_0000000001,,WHO GHO
SEN,,2009,,MDG_0000000001,,WHO GHO
LKA,,2018,,MDG_0000000001,,WHO GHO
HTI,,2016,,MDG_0000000001,,WHO GHO
MHL,,2002,,MDG_0000000001,,WHO GHO
TUR,,2022,,MDG_0000000001,,WHO GHO
BRA,,2014,,MDG_0000000001,,WHO GHO
UNICEFREGIONWE,,2005,,MDG_0000000001,,WHO GHO
SYR,,2018,,MDG_0000000001,,WHO GHO
BWA,,2018,,MDG_0000000001,,WHO GHO
BHS,,2007,,MDG_0000000001,,WHO GHO
DMA,,2012,,MDG_0000000001,,WHO GHO
WB_UMI,,2010,,MDG_0000000001,,WHO GHO
BEL,,2007,,MDG_0000000001,,WHO GHO
TCA,,2009,,MDG_0000000001,,WHO GHO
KIR,,2005,,MDG_0000000001,,WHO GHO
ITA,,2018,,MDG_0000000001,,WHO GHO
ALB,,2006,,MDG_0000000001,,WHO GHO
UNSDG_NORTHERNAMR,,2003,,MDG_0000000001,,WHO GHO
IRQ,,2021,,MDG_0000000001,,WHO GHO
ATG,,2000,,MDG_0000000001,,WHO GHO
COG,,2023,,MDG_0000000001,,WHO GHO
MMR,,2020,,MDG_0000000001,,WHO GHO
MDG,,2023,,MDG_0000000001,,WHO GHO
VEN,,2006,,MDG_0000000001,,WHO GHO
GRC,,2005,,MDG_0000000001,,WHO GHO
TGO,,2004,,MDG_0000000001,,WHO GHO
GRD,,2006,,MDG_0000000001,,WHO GHO
FRA,,2009,,MDG_0000000001,,WHO GHO
WSM,,2002,,MDG_0000000001,,WHO GHO
UNSDG_LDC,,2017,,MDG_0000000001,,WHO GHO
UNICEFREGIONEAP,,2004,,MDG_0000000001,,WHO GHO
MNE,,2015,,MDG_0000000001,,WHO GHO
ITA,,2004,,MDG_0000000001,,WHO GHO
MNE,,2018,,MDG_0000000001,,WHO GHO
RUS,,2021,,MDG_0000000001,,WHO GHO
SRB,,2019,,MDG_0000000001,,WHO GHO
MKD,,2000,,MDG_0000000001,,WHO GHO
BWA,,2015,,MDG_0000000001,,WHO GHO
USA,,2018,,MDG_0000000001,,WHO GHO
THA,,2014,,MDG_0000000001,,WHO GHO
MWI,,2019,,MDG_0000000001,,WHO GHO
DZA,,2006,,MDG_0000000001,,WHO GHO
KWT,,2008,,MDG_0000000001,,WHO GHO
UNSDG_WESTERNASIANORTHERNAFR,,2000,,MDG_0000000001,,WHO GHO
VGB,,2016,,MDG_0000000001,,WHO GHO
COK,,2009,,MDG_0000000001,,WHO GHO
RWA,,2009,,MDG_0000000001,,WHO GHO
AGO,,2011,,MDG_0000000001,,WHO GHO
UNICEFREGIONEAP,,2002,,MDG_0000000001,,WHO GHO
BRB,,2016,,MDG_0000000001,,WHO GHO
UNSDG_OCEANIA,,2015,,MDG_0000000001,,WHO GHO
CAF,,2004,,MDG_0000000001,,WHO GHO
UNICEFREGIONWCA,,2009,,MDG_0000000001,,WHO GHO
KHM,,2015,,MDG_0000000001,,WHO GHO
KGZ,,2000,,MDG_0000000001,,WHO GHO
NAM,,2010,,MDG_0000000001,,WHO GHO
HUN,,2015,,MDG_0000000001,,WHO GHO
UNICEFREGIONEAC,,2021,,MDG_0000000001,,WHO GHO
TUV,,2023,,MDG_0000000001,,WHO GHO
KHM,,2020,,MDG_0000000001,,WHO GHO
PAK,,2021,,MDG_0000000001,,WHO GHO
LBR,,2015,,MDG_0000000001,,WHO GHO
IRL,,2015,,MDG_0000000001,,WHO GHO
FRA,,2012,,MDG_0000000001,,WHO GHO
MYS,,2011,,MDG_0000000001,,WHO GHO
LSO,,2004,,MDG_0000000001,,WHO GHO
DJI,,2022,,MDG_0000000001,,WHO GHO
CHE,,2003,,MDG_0000000001,,WHO GHO
TCD,,2006,,MDG_0000000001,,WHO GHO
IND,,2004,,MDG_0000000001,,WHO GHO
POL,,2016,,MDG_0000000001,,WHO GHO
URY,,2016,,MDG_0000000001,,WHO GHO
UKR,,2000,,MDG_0000000001,,WHO GHO
UNSDG_SIDS,,2019,,MDG_0000000001,,WHO GHO
UNSDG_CENTRALASIA,,2020,,MDG_0000000001,,WHO GHO
TUV,,2016,,MDG_0000000001,,WHO GHO
TJK,,2021,,MDG_0000000001,,WHO GHO
AFR,,2009,,MDG_0000000001,,WHO GHO
ARM,,2015,,MDG_0000000001,,WHO GHO
LCA,,2006,,MDG_0000000001,,WHO GHO
BIH,,2007,,MDG_0000000001,,WHO GHO
CHN,,2004,,MDG_0000000001,,WHO GHO
UNSDG_EASTERNASIA,,2019,,MDG_0000000001,,WHO GHO
LVA,,2022,,MDG_0000000001,,WHO GHO
YEM,,2001,,MDG_0000000001,,WHO GHO
AZE,,2002,,MDG_0000000001,,WHO GHO
FIN,,2005,,MDG_0000000001,,WHO GHO
WPR,,2011,,MDG_0000000001,,WHO GHO
SEAR,,2017,,MDG_0000000001,,WHO GHO
URY,,2013,,MDG_0000000001,,WHO GHO
UNSDG_OCEANIAexAUSNZL,,2012,,MDG_0000000001,,WHO GHO
IRQ,,2008,,MDG_0000000001,,WHO GHO
UNSDG_LDC,,2014,,MDG_0000000001,,WHO GHO
USA,,2008,,MDG_0000000001,,WHO GHO
UGA,,2010,,MDG_0000000001,,WHO GHO
MDA,,2023,,MDG_0000000001,,WHO GHO
UNICEFREGIONLAC,,2002,,MDG_0000000001,,WHO GHO
MHL,,2011,,MDG_0000000001,,WHO GHO
COK,,2021,,MDG_0000000001,,WHO GHO
KWT,,2014,,MDG_0000000001,,WHO GHO
BRA,,2012,,MDG_0000000001,,WHO GHO
DZA,,2004,,MDG_0000000001,,WHO GHO
LUX,,2004,,MDG_0000000001,,WHO GHO
UNSDG_LLDC,,2004,,MDG_0000000001,,WHO GHO
DNK,,2018,,MDG_0000000001,,WHO GHO
GRD,,2010,,MDG_0000000001,,WHO GHO
BLZ,,2015,,MDG_0000000001,,WHO GHO
UNICEFREGIONEECA,,2014,,MDG_0000000001,,WHO GHO
BHR,,2014,,MDG_0000000001,,WHO GHO
TTO,,2005,,MDG_0000000001,,WHO GHO
UNSDG_OCEANIA,,2012,,MDG_0000000001,,WHO GHO
AFR,,2010,,MDG_0000000001,,WHO GHO
TLS,,2009,,MDG_0000000001,,WHO GHO
GUY,,2014,,MDG_0000000001,,WHO GHO
GHA,,2012,,MDG_0000000001,,WHO GHO
TZA,,2013,,MDG_0000000001,,WHO GHO
UNSDG_LDC,,2012,,MDG_0000000001,,WHO GHO
BIH,,2019,,MDG_0000000001,,WHO GHO
UNICEF_ROSA,,2004,,MDG_0000000001,,WHO GHO
UGA,,2016,,MDG_0000000001,,WHO GHO
NGA,,2012,,MDG_0000000001,,WHO GHO
THA,,2004,,MDG_0000000001,,WHO GHO
NPL,,2000,,MDG_0000000001,,WHO GHO
GRD,,2008,,MDG_0000000001,,WHO GHO
CHL,,2013,,MDG_0000000001,,WHO GHO
THA,,2020,,MDG_0000000001,,WHO GHO
QAT,,2012,,MDG_0000000001,,WHO GHO
EMR,,2021,,MDG_0000000001,,WHO GHO
SAU,,2020,,MDG_0000000001,,WHO GHO
PLW,,2015,,MDG_0000000001,,WHO GHO
BRA,,2009,,MDG_0000000001,,WHO GHO
CAN,,2016,,MDG_0000000001,,WHO GHO
SAU,,2006,,MDG_0000000001,,WHO GHO
KHM,,2010,,MDG_0000000001,,WHO GHO
KIR,,2022,,MDG_0000000001,,WHO GHO
GRD,,2015,,MDG_0000000001,,WHO GHO
GNQ,,2016,,MDG_0000000001,,WHO GHO
NLD,,2019,,MDG_0000000001,,WHO GHO
SWZ,,2022,,MDG_0000000001,,WHO GHO
JPN,,2015,,MDG_0000000001,,WHO GHO
UNICEFREGIONLAC,,2001,,MDG_0000000001,,WHO GHO
NIC,,2015,,MDG_0000000001,,WHO GHO
SOM,,2022,,MDG_0000000001,,WHO GHO
ARE,,2014,,MDG_0000000001,,WHO GHO
FSM,,2008,,MDG_0000000001,,WHO GHO
MLI,,2020,,MDG_0000000001,,WHO GHO
GAB,,2015,,MDG_0000000001,,WHO GHO
KEN,,2012,,MDG_0000000001,,WHO GHO
HTI,,2018,,MDG_0000000001,,WHO GHO
STP,,2022,,MDG_0000000001,,WHO GHO
SSD,,2015,,MDG_0000000001,,WHO GHO
UNSDG_WESTERNASIANORTHERNAFR,,2014,,MDG_0000000001,,WHO GHO
UNICEFREGIONEAP,,2016,,MDG_0000000001,,WHO GHO
BDI,,2009,,MDG_0000000001,,WHO GHO
BRB,,2001,,MDG_0000000001,,WHO GHO
PRT,,2008,,MDG_0000000001,,WHO GHO
WB_LMI,,2003,,MDG_0000000001,,WHO GHO
NLD,,2001,,MDG_0000000001,,WHO GHO
DZA,,2021,,MDG_0000000001,,WHO GHO
NIU,,2021,,MDG_0000000001,,WHO GHO
SRB,,2004,,MDG_0000000001,,WHO GHO
SVN,,2007,,MDG_0000000001,,WHO GHO
GUY,,2007,,MDG_0000000001,,WHO GHO
TCA,,2006,,MDG_0000000001,,WHO GHO
EMR,,2022,,MDG_0000000001,,WHO GHO
UNICEFREGIONEAP,,2016,,MDG_0000000001,,WHO GHO
PNG,,2000,,MDG_0000000001,,WHO GHO
HTI,,2006,,MDG_0000000001,,WHO GHO
BLZ,,2004,,MDG_0000000001,,WHO GHO
UNSDG_SOUTHASIA,,2009,,MDG_0000000001,,WHO GHO
PAK,,2014,,MDG_0000000001,,WHO GHO
CAF,,2008,,MDG_0000000001,,WHO GHO
CYP,,2019,,MDG_0000000001,,WHO GHO
AFG,,2000,,MDG_0000000001,,WHO GHO
NGA,,2005,,MDG_0000000001,,WHO GHO
SEAR,,2007,,MDG_0000000001,,WHO GHO
SYR,,2014,,MDG_0000000001,,WHO GHO
UNICEF_ESARO,,2008,,MDG_0000000001,,WHO GHO
IRL,,2016,,MDG_0000000001,,WHO GHO
FJI,,2004,,MDG_0000000001,,WHO GHO
UNICEFREGIONEECA,,2016,,MDG_0000000001,,WHO GHO
BEN,,2009,,MDG_0000000001,,WHO GHO
ZWE,,2012,,MDG_0000000001,,WHO GHO
POL,,2016,,MDG_0000000001,,WHO GHO
IRN,,2001,,MDG_0000000001,,WHO GHO
MYS,,2021,,MDG_0000000001,,WHO GHO
UNSDG_EUROPE,,2012,,MDG_0000000001,,WHO GHO
BRB,,2008,,MDG_0000000001,,WHO GHO
MKD,,2020,,MDG_0000000001,,WHO GHO
GAB,,2023,,MDG_0000000001,,WHO GHO
UNICEFREGIONLAC,,2017,,MDG_0000000001,,WHO GHO
UNICEF_ROSA,,2017,,MDG_0000000001,,WHO GHO
ROU,,2015,,MDG_0000000001,,WHO GHO
SLE,,2006,,MDG_0000000001,,WHO GHO
SVN,,2015,,MDG_0000000001,,WHO GHO
PER,,2018,,MDG_0000000001,,WHO GHO
BFA,,2009,,MDG_0000000001,,WHO GHO
SVK,,2004,,MDG_0000000001,,WHO GHO
WB_HI,,2006,,MDG_0000000001,,WHO GHO
LBN,,2012,,MDG_0000000001,,WHO GHO
ZAF,,2020,,MDG_0000000001,,WHO GHO
